CREATE TABLE opord (
    xordernum VARCHAR(20) PRIMARY KEY,  -- Sales order code
    xcus VARCHAR(20) NOT NULL,          -- Customer ID (Foreign Key)
    xdate DATE DEFAULT CURRENT_DATE,    -- Auto-generated order date
    xstatus VARCHAR(20) NOT NULL,       -- Status of the order
    FOREIGN KEY (xcus) REFERENCES cacus(xcus) -- Link to cacus table
);

INSERT INTO opord (xordernum, xcus, xstatus, xdate) VALUES
('ORD-000125', 'CUS-000049', 'Cancelled', '2023-11-24'),
('ORD-000126', 'CUS-000073', 'Pending', '2023-11-26'),
('ORD-000127', 'CUS-000074', 'Completed', '2023-11-28'),
('ORD-000128', 'CUS-000086', 'Cancelled', '2023-11-30'),
('ORD-000129', 'CUS-000048', 'Pending', '2023-12-02'),
('ORD-000130', 'CUS-000072', 'Completed', '2023-12-04'),
('ORD-000131', 'CUS-000058', 'Cancelled', '2023-12-06'),
('ORD-000132', 'CUS-000084', 'Pending', '2023-12-08'),
('ORD-000133', 'CUS-000061', 'Completed', '2023-12-10'),
('ORD-000134', 'CUS-000075', 'Cancelled', '2023-12-12'),
('ORD-000135', 'CUS-000040', 'Pending', '2023-12-14'),
('ORD-000136', 'CUS-000029', 'Completed', '2023-12-16'),
('ORD-000137', 'CUS-000023', 'Cancelled', '2023-12-18'),
('ORD-000138', 'CUS-000059', 'Pending', '2023-12-20'),
('ORD-000139', 'CUS-000069', 'Completed', '2023-12-22'),
('ORD-000140', 'CUS-000087', 'Cancelled', '2023-12-24'),
('ORD-000141', 'CUS-000082', 'Pending', '2023-12-26'),
('ORD-000142', 'CUS-000065', 'Completed', '2023-12-28'),
('ORD-000143', 'CUS-000076', 'Cancelled', '2023-12-30'),
('ORD-000144', 'CUS-000079', 'Pending', '2023-12-31'),
('ORD-000145', 'CUS-000083', 'Completed', '2024-01-01'),
('ORD-000146', 'CUS-000041', 'Cancelled', '2024-01-03'),
('ORD-000147', 'CUS-000088', 'Pending', '2024-01-05'),
('ORD-000148', 'CUS-000080', 'Completed', '2024-01-07'),
('ORD-000149', 'CUS-000086', 'Cancelled', '2024-01-09'),
('ORD-000150', 'CUS-000067', 'Pending', '2024-01-11'),
('ORD-000151', 'CUS-000051', 'Completed', '2024-01-13'),
('ORD-000152', 'CUS-000031', 'Cancelled', '2024-01-15'),
('ORD-000153', 'CUS-000019', 'Pending', '2024-01-17'),
('ORD-000154', 'CUS-000022', 'Completed', '2024-01-19'),
('ORD-000155', 'CUS-000090', 'Cancelled', '2024-01-21'),
('ORD-000156', 'CUS-000017', 'Pending', '2024-01-23'),
('ORD-000157', 'CUS-000025', 'Completed', '2024-01-25'),
('ORD-000158', 'CUS-000037', 'Cancelled', '2024-01-27'),
('ORD-000159', 'CUS-000060', 'Pending', '2024-01-29'),
('ORD-000160', 'CUS-000089', 'Completed', '2024-01-31'),
('ORD-000161', 'CUS-000042', 'Completed', '2024-02-03'),
('ORD-000162', 'CUS-000071', 'Cancelled', '2024-02-05'),
('ORD-000163', 'CUS-000054', 'Pending', '2024-02-07'),
('ORD-000164', 'CUS-000068', 'Completed', '2024-02-09'),
('ORD-000165', 'CUS-000087', 'Cancelled', '2024-02-11'),
('ORD-000166', 'CUS-000019', 'Pending', '2024-02-13'),
('ORD-000167', 'CUS-000050', 'Completed', '2024-02-15'),
('ORD-000168', 'CUS-000004', 'Cancelled', '2024-02-17'),
('ORD-000169', 'CUS-000065', 'Pending', '2024-02-19'),
('ORD-000170', 'CUS-000078', 'Completed', '2024-02-21'),
('ORD-000171', 'CUS-000086', 'Cancelled', '2024-02-23'),
('ORD-000172', 'CUS-000081', 'Pending', '2024-02-25'),
('ORD-000173', 'CUS-000007', 'Completed', '2024-02-27'),
('ORD-000174', 'CUS-000088', 'Cancelled', '2024-02-29'),
('ORD-000175', 'CUS-000010', 'Pending', '2024-03-02'),
('ORD-000176', 'CUS-000082', 'Completed', '2024-03-04'),
('ORD-000177', 'CUS-000015', 'Cancelled', '2024-03-06'),
('ORD-000178', 'CUS-000006', 'Pending', '2024-03-08'),
('ORD-000179', 'CUS-000055', 'Completed', '2024-03-10'),
('ORD-000180', 'CUS-000036', 'Cancelled', '2024-03-12'),
('ORD-000181', 'CUS-000032', 'Pending', '2024-03-14'),
('ORD-000182', 'CUS-000062', 'Completed', '2024-03-16'),
('ORD-000183', 'CUS-000027', 'Cancelled', '2024-03-18'),
('ORD-000184', 'CUS-000053', 'Pending', '2024-03-20'),
('ORD-000185', 'CUS-000046', 'Completed', '2024-03-22'),
('ORD-000186', 'CUS-000035', 'Cancelled', '2024-03-24'),
('ORD-000187', 'CUS-000068', 'Pending', '2024-03-26'),
('ORD-000188', 'CUS-000013', 'Completed', '2024-03-28'),
('ORD-000189', 'CUS-000043', 'Cancelled', '2024-03-30'),
('ORD-000190', 'CUS-000014', 'Pending', '2024-04-01'),
('ORD-000191', 'CUS-000089', 'Completed', '2024-04-03'),
('ORD-000192', 'CUS-000052', 'Cancelled', '2024-04-05'),
('ORD-000193', 'CUS-000076', 'Pending', '2024-04-07'),
('ORD-000194', 'CUS-000003', 'Completed', '2024-04-09'),
('ORD-000195', 'CUS-000016', 'Cancelled', '2024-04-11'),
('ORD-000196', 'CUS-000085', 'Pending', '2024-04-13'),
('ORD-000197', 'CUS-000072', 'Completed', '2024-04-15'),
('ORD-000198', 'CUS-000080', 'Cancelled', '2024-04-17'),
('ORD-000199', 'CUS-000079', 'Pending', '2024-04-19'),
('ORD-000200', 'CUS-000011', 'Completed', '2024-04-21');
